symptom,risk_level,action,message
"severe chest pain and shortness of breath",HIGH,EMERGENCY,"Call ambulance immediately"
"i got bitten by a snake while farming",HIGH,EMERGENCY,"Call ambulance immediately"
"drank pesticide by accident",HIGH,EMERGENCY,"Call ambulance immediately"
"heavy bleeding from a tractor accident",HIGH,EMERGENCY,"Call ambulance immediately"
"unconscious and not breathing",HIGH,EMERGENCY,"Call ambulance immediately"
"pregnant woman experiencing severe cramps",HIGH,EMERGENCY,"Call ambulance immediately"
"sudden weakness on one side of the body",HIGH,EMERGENCY,"Call ambulance immediately"
"heart attack symptoms left arm hurting",HIGH,EMERGENCY,"Call ambulance immediately"
"severe burn from fire",HIGH,EMERGENCY,"Call ambulance immediately"
"having a seizure",HIGH,EMERGENCY,"Call ambulance immediately"
"cow is in critical condition vet emergency",HIGH,EMERGENCY,"Call ambulance immediately"
"livestock emergency severe bleeding",HIGH,EMERGENCY,"Call ambulance immediately"
"i have a mild fever and body pain",MEDIUM,CONSULT,"Visit doctor soon"
"fractured my arm falling down",MEDIUM,CONSULT,"Visit doctor soon"
"deep cut on my leg needs stitches",MEDIUM,CONSULT,"Visit doctor soon"
"vomiting and severe dehydration",MEDIUM,CONSULT,"Visit doctor soon"
"feeling very dizzy and weak",MEDIUM,CONSULT,"Visit doctor soon"
"hit my head and feel nauseous",MEDIUM,CONSULT,"Visit doctor soon"
"asthma attack using inhaler",MEDIUM,CONSULT,"Visit doctor soon"
"mild headache for two days",LOW,SELF_CARE,"Home care is sufficient"
"minor cut on finger",LOW,SELF_CARE,"Home care is sufficient"
"itchy rash on my arm",LOW,SELF_CARE,"Home care is sufficient"
"slight stomach ache after eating",LOW,SELF_CARE,"Home care is sufficient"
"runny nose and cold",LOW,SELF_CARE,"Home care is sufficient"
"sore throat and mild cough",LOW,SELF_CARE,"Home care is sufficient"
"feeling a bit nauseous",LOW,SELF_CARE,"Home care is sufficient"
"I have a mild fever",MEDIUM,CONSULT,"Visit doctor soon"
"I feel cold",LOW,SELF_CARE,"Home care is sufficient"
"severe chest pain",HIGH,EMERGENCY,"Call ambulance immediately"
"snake bite",HIGH,EMERGENCY,"Call ambulance immediately"
"pesticide poisoning",HIGH,EMERGENCY,"Call ambulance immediately"
"tractor accident",HIGH,EMERGENCY,"Call ambulance immediately"
"breathing difficulty",HIGH,EMERGENCY,"Call ambulance immediately"
"vet emergency",HIGH,EMERGENCY,"Call ambulance immediately"
"Sudden Cardiac Arrest",HIGH,EMERGENCY,"Call ambulance immediately"
"Massive Heart Attack",HIGH,EMERGENCY,"Call ambulance immediately"
"Aortic Dissection Ruptured Aneurysm",HIGH,EMERGENCY,"Call ambulance immediately"
"Highly Venomous Snake Bites",HIGH,EMERGENCY,"Call ambulance immediately"
"Severe Anaphylaxis",HIGH,EMERGENCY,"Call ambulance immediately"
"Ruptured Ectopic Pregnancy",HIGH,EMERGENCY,"Call ambulance immediately"
"Placental Abruption",HIGH,EMERGENCY,"Call ambulance immediately"
"Severe Eclampsia",HIGH,EMERGENCY,"Call ambulance immediately"
"Choking Complete Airway Obstruction",HIGH,EMERGENCY,"Call ambulance immediately"
"Status Asthmaticus",HIGH,EMERGENCY,"Call ambulance immediately"
"Arterial Bleeding",HIGH,EMERGENCY,"Call ambulance immediately"
